AÑO;TRIMESTRE;ID Nacionalidad;;RESIDENCIA;;Motivo Principal (*);;Frontera (*);;Total Noches;Dias Turista;GPDI;GTI;DIVISAS;FACTOR EXPANSION
2018;1;9988;Argentina;1;Argentina;1;Vacaciones;1;Aeropuertos;7,507688373;1057950,066;100,4892681;754,44211;106312627,8;140915,5539
2018;1;9988;Argentina;1;Argentina;1;Vacaciones;2;Frontera;5,846047193;4928855,373;54,30290346;317,4573364;267651157,5;843109,0633
2018;1;9988;Argentina;1;Argentina;2;Negocios/Profesionales;1;Aeropuertos;7,315772056;95215,42938;163,6210685;1197,014441;15579250,29;13015,08968
2018;1;9988;Argentina;1;Argentina;2;Negocios/Profesionales;2;Frontera;5,918380451;28329,5445;75,43561913;446,4566936;2137056,729;4786,705541
2018;1;9988;Argentina;1;Argentina;3;Congresos/Seminarios;1;Aeropuertos;5,327794033;14021,67293;87,3470014;465,3668329;1224751,085;2631,797108
2018;1;9988;Argentina;1;Argentina;3;Congresos/Seminarios;2;Frontera;0;0;0;0;0;0
2018;1;9988;Argentina;1;Argentina;4;Visita Familiares/Amigos;1;Aeropuertos;12,06987153;379866,2157;37,12123874;448,0485827;14101104,48;31472,26668
2018;1;9988;Argentina;1;Argentina;4;Visita Familiares/Amigos;2;Frontera;11,74555046;1695843,342;17,94581987;210,7835328;30433299,15;144381,7681
2018;1;9988;Argentina;1;Argentina;5;Salud;1;Aeropuertos;5;1183,52415;84,04019092;420,2009546;99463,59555;236,7048301
2018;1;9988;Argentina;1;Argentina;5;Salud;2;Frontera;0;0;0;0;0;0
2018;1;9988;Argentina;1;Argentina;6;Estudios;1;Aeropuertos;5;2958,810376;162,5945906;812,9729528;481086,5616;591,7620751
2018;1;9988;Argentina;1;Argentina;6;Estudios;2;Frontera;0;0;0;0;0;0
2018;1;9988;Argentina;1;Argentina;7;Otro;1;Aeropuertos;2,964153307;55933,67207;145,8605204;432,3529439;8158514,516;18870,03346
2018;1;9988;Argentina;1;Argentina;7;Otro;2;Frontera;3,62159116;230043,3369;53,04477317;192,1064816;12202596,62;63519,96311
2018;1;9988;Bolivia;2;Bolivia;1;Vacaciones;1;Aeropuertos;10,07367601;29581,11938;88,30963228;889,602624;2612297,775;2936,477146
2018;1;9988;Bolivia;2;Bolivia;1;Vacaciones;2;Frontera;9,024443507;730033,8369;23,20274644;209,3918744;16938790,01;80895,16393
2018;1;9988;Bolivia;2;Bolivia;2;Negocios/Profesionales;1;Aeropuertos;8,119158064;5349,610545;80,29225179;651,9054836;429532,2769;658,8873505
2018;1;9988;Bolivia;2;Bolivia;2;Negocios/Profesionales;2;Frontera;3,806898733;37828,15117;35,9480747;136,85068;1359849,204;9936,736914
2018;1;9988;Bolivia;2;Bolivia;3;Congresos/Seminarios;1;Aeropuertos;4,823529412;2155,381526;109,7734591;529,4955088;236603,6859;446,8473896
2018;1;9988;Bolivia;2;Bolivia;3;Congresos/Seminarios;2;Frontera;0;0;0;0;0;0
2018;1;9988;Bolivia;2;Bolivia;4;Visita Familiares/Amigos;1;Aeropuertos;17,40140455;23480,34772;33,3397476;580,1584354;782828,8664;1349,336351
2018;1;9988;Bolivia;2;Bolivia;4;Visita Familiares/Amigos;2;Frontera;15,08677948;605107,1051;8,799514089;132,7563286;5324648,497;40108,43439
2018;1;9988;Bolivia;2;Bolivia;5;Salud;1;Aeropuertos;9,973684211;9962,068273;100,6852202;1004,202591;1003033,038;998,8353414
2018;1;9988;Bolivia;2;Bolivia;5;Salud;2;Frontera;0;0;0;0;0;0
2018;1;9988;Bolivia;2;Bolivia;6;Estudios;1;Aeropuertos;29,71428571;2733,654618;56,4562316;1677,556596;154331,8383;91,99799197
2018;1;9988;Bolivia;2;Bolivia;6;Estudios;2;Frontera;0;0;0;0;0;0
2018;1;9988;Bolivia;2;Bolivia;7;Otro;1;Aeropuertos;5,75;604,5582329;59,03447735;339,4482447;35689,77931;105,1405622
2018;1;9988;Bolivia;2;Bolivia;7;Otro;2;Frontera;17,63382134;65041,90866;4,306554173;75,94100687;280106,5032;3688,474972
2018;1;9988;Perú;3;Perú;1;Vacaciones;1;Aeropuertos;15,98451389;206756,0461;36,86014095;589,191435;7621057,003;12934,77222
2018;1;9988;Perú;3;Perú;1;Vacaciones;2;Frontera;7,626868924;238489,6474;29,17495587;222,5135643;6957924,939;31269,66646
2018;1;9988;Perú;3;Perú;2;Negocios/Profesionales;1;Aeropuertos;8,565485846;30184,8948;108,9966199;933,6090054;3290051,507;3524,014323
2018;1;9988;Perú;3;Perú;2;Negocios/Profesionales;2;Frontera;3,790774374;32970,12314;72,55407152;275,0361151;2392116,672;8697,463865
2018;1;9988;Perú;3;Perú;3;Congresos/Seminarios;1;Aeropuertos;6,571428571;2158,040689;110,8204137;728,2484331;239154,9619;328,3974961
2018;1;9988;Perú;3;Perú;3;Congresos/Seminarios;2;Frontera;0;0;0;0;0;0
2018;1;9988;Perú;3;Perú;4;Visita Familiares/Amigos;1;Aeropuertos;33,54234246;368149,7067;14,02410067;470,4011874;5162968,549;10975,67074
2018;1;9988;Perú;3;Perú;4;Visita Familiares/Amigos;2;Frontera;14,51390232;449208,547;10,62466262;154,2053155;4772689,259;30950,22531
2018;1;9988;Perú;3;Perú;5;Salud;1;Aeropuertos;15,66666667;2204,954617;29,75213292;466,1167491;65602,10283;140,741784
2018;1;9988;Perú;3;Perú;5;Salud;2;Frontera;0;0;0;0;0;0
2018;1;9988;Perú;3;Perú;6;Estudios;1;Aeropuertos;51,125;19187,79656;22,59443806;1155,140646;433537,4807;375,3114241
2018;1;9988;Perú;3;Perú;6;Estudios;2;Frontera;0;0;0;0;0;0
2018;1;9988;Perú;3;Perú;7;Otro;1;Aeropuertos;9,288092387;8254,169685;44,03505947;409,0017007;363472,853;888,6829869
2018;1;9988;Perú;3;Perú;7;Otro;2;Frontera;4,448102088;33592,79351;34,01214854;151,2895089;1142563,083;7552,163338
2018;1;9988;Brasil;4;Brasil;1;Vacaciones;1;Aeropuertos;8,57730366;591045,9907;109,1913339;936,5672282;64537100,14;68908,13408
2018;1;9988;Brasil;4;Brasil;1;Vacaciones;2;Frontera;7,043841348;177613,4314;66,54890887;468,759956;11819980,06;25215,4219
2018;1;9988;Brasil;4;Brasil;2;Negocios/Profesionales;1;Aeropuertos;7,222541798;77387,19548;136,5378301;986,1501847;10566279,75;10714,67603
2018;1;9988;Brasil;4;Brasil;2;Negocios/Profesionales;2;Frontera;5,696234809;6839,664935;83,80091085;477,3496654;573170,1514;1200,734374
2018;1;9988;Brasil;4;Brasil;3;Congresos/Seminarios;1;Aeropuertos;10,8;3854,687449;50,59472241;546,4230021;195026,8415;356,9155045
2018;1;9988;Brasil;4;Brasil;3;Congresos/Seminarios;2;Frontera;0;0;0;0;0;0
2018;1;9988;Brasil;4;Brasil;4;Visita Familiares/Amigos;1;Aeropuertos;18,31849718;123696,3499;32,21003458;590,0394278;3984263,708;6752,538085
2018;1;9988;Brasil;4;Brasil;4;Visita Familiares/Amigos;2;Frontera;10,70219483;12850,4932;27,13238684;290,3760901;348664,5526;1200,734374
2018;1;9988;Brasil;4;Brasil;5;Salud;1;Aeropuertos;8;571,0648072;321,3352711;2570,682169;183503,2647;71,3831009
2018;1;9988;Brasil;4;Brasil;5;Salud;2;Frontera;0;0;0;0;0;0
2018;1;9988;Brasil;4;Brasil;6;Estudios;1;Aeropuertos;40,05735864;32408,02375;45,1848735;1809,986683;1464352,454;809,0404572
